campaign_id,campaign_name,order,url,total_clicks,unique_clicks,click_percentage,unique_click_percentage
14247c5c6c,DP Daybreak 04/01/2024,4,https://youtu.be/APWDsTQCG4M,10,8,0.00594883997620464,0.008988764044943821
14247c5c6c,DP Daybreak 04/01/2024,5,https://docs.google.com/forms/d/e/1FAIpQLScmW5cizslLK__TTFbbeNSZfXYwOvnNwG3Q8pfgwtbZdxQZKw/viewform,6,4,0.003569303985722784,0.0044943820224719105
74731b3172,DP Daybreak 04/02/2024,1,https://gopuff.onelink.me/6XXe/1wpalnyc,55,27,0.007929642445213379,0.007546115148127445
74731b3172,DP Daybreak 04/02/2024,2,https://www.sas.upenn.edu/events/stephen-levin-family-deans-forum-featuring-margaret-atwood,102,52,0.014705882352941176,0.014533258803801007
babf7bd0e3,DP Daybreak 04/03/2024,1,https://gopuff.onelink.me/6XXe/1wpalnyc,14,8,0.00775623268698061,0.007561436672967864
80b583063f,DP Daybreak 04/04/2024,1,https://gopuff.onelink.me/6XXe/1wpalnyc,7,7,0.002696456086286595,0.0047425474254742545
525fa614ef,DP Daybreak 04/05/2024,1,https://universityrealtyapartments.com/,3,3,0.0017251293847038527,0.0033407572383073497
525fa614ef,DP Daybreak 04/05/2024,2,https://www.acmemarkets.com/,15,15,0.008625646923519264,0.01670378619153675
525fa614ef,DP Daybreak 04/05/2024,3,https://www.shopsatpenn.com/,7,5,0.0040253018976423235,0.005567928730512249
b9cb9de6f1,DP Daybreak 04/08/2024,1,http://www.upenn.edu/offcampushousingfair,5,5,0.002440214738897023,0.0048828125
b9cb9de6f1,DP Daybreak 04/08/2024,2,https://gopuff.onelink.me/6XXe/1wpalnyc,9,6,0.004392386530014641,0.005859375
b9cb9de6f1,DP Daybreak 04/08/2024,3,http://dominos.com/,6,6,0.0029282576866764276,0.005859375
b9cb9de6f1,DP Daybreak 04/08/2024,4,https://youtu.be/mXkdhZwYqEM,11,9,0.005368472425573451,0.0087890625
7fd9ba3a91,DP Daybreak 04/09/2024,1,https://www.shopsatpenn.com/,11,6,0.005157055789967183,0.0054249547920434
7fd9ba3a91,DP Daybreak 04/09/2024,2,http://dpgradgoodbyes.com,4,2,0.001875293014533521,0.0018083182640144665
7fd9ba3a91,DP Daybreak 04/09/2024,3,https://thedp.us2.list-manage2.com/subscribe?u=a96885e3aa3f8131c872ee329&id=370b4800ba,5,3,0.0023441162681669013,0.0027124773960217
7fd9ba3a91,DP Daybreak 04/09/2024,4,https://www.redbubble.com/i/sticker/Eclipse-by-dailypenn/160163016.EJUG5,65,31,0.030473511486169714,0.02802893309222423
69a0024243,DP Daybreak 04/10/2024,1,https://www.sas.upenn.edu/events/stephen-levin-family-deans-forum-featuring-margaret-atwood,48,25,0.014902204284383732,0.015566625155666251
69a0024243,DP Daybreak 04/10/2024,2,https://gopuff.onelink.me/6XXe/1wpalnyc,16,10,0.0049674014281279105,0.0062266500622665
69a0024243,DP Daybreak 04/10/2024,3,https://www.acmemarkets.com/,32,24,0.009934802856255821,0.014943960149439602
69a0024243,DP Daybreak 04/10/2024,4,http://dpgradgoodbyes.com/,19,17,0.0058987891959018934,0.010585305105853052
5b8b4ced98,DP Daybreak 04/11/2024,1,https://universityrealtyapartments.com/,18,11,0.006008010680907877,0.006785934608266502
5b8b4ced98,DP Daybreak 04/11/2024,2,http://www.upenn.edu/offcampushousingfair,12,8,0.004005340453938585,0.004935225169648365
5b8b4ced98,DP Daybreak 04/11/2024,3,http://dpgradgoodbyes.com/,22,18,0.007343124165554072,0.011104256631708822
5b8b4ced98,DP Daybreak 04/11/2024,4,https://youtu.be/EP1s4iFhNDk,121,72,0.040387182910547395,0.04441702652683529
2a7d8371b1,DP Daybreak 04/12/2024,1,https://gopuff.onelink.me/6XXe/1wpalnyc,24,13,0.008342022940563087,0.008563899868247694
2a7d8371b1,DP Daybreak 04/12/2024,2,http://www.upenn.edu/offcampushousingfair,89,46,0.030935001737921446,0.030303030303030304
2a7d8371b1,DP Daybreak 04/12/2024,3,http://dpgradgoodbyes.com/,14,9,0.004866180048661801,0.005928853754940711
79de9c5e60,DP Daybreak 04/15/2024,1,http://www.upenn.edu/offcampushousingfair,92,48,0.040834442964935644,0.039735099337748346
79de9c5e60,DP Daybreak 04/15/2024,2,http://dpgradgoodbyes.com/,26,14,0.01154016866400355,0.011589403973509934
79de9c5e60,DP Daybreak 04/15/2024,3,https://youtu.be/_8vbS_pUVI0,16,10,0.007101642254771416,0.008278145695364239
6a2bd8ea7e,DP Daybreak 04/16/2024,1,https://universityrealtyapartments.com/,35,20,0.015027908973808502,0.016246953696181964
6a2bd8ea7e,DP Daybreak 04/16/2024,2,http://dominos.com,7,7,0.0030055817947617003,0.005686433793663688
6a2bd8ea7e,DP Daybreak 04/16/2024,3,https://youtu.be/XzBWXcnEOg4,79,45,0.0339201373980249,0.036555645816409424
a9e985a824,DP Daybreak 04/17/2024,1,http://www.upenn.edu/offcampushousingfair,4,3,0.0030257186081694403,0.00424929178470255
a9e985a824,DP Daybreak 04/17/2024,2,https://www.sas.upenn.edu/events/stephen-levin-family-deans-forum-featuring-margaret-atwood,28,14,0.02118003025718608,0.019830028328611898
a9e985a824,DP Daybreak 04/17/2024,3,https://philafleamarkets.org/,24,13,0.018154311649016642,0.018413597733711047
a9e985a824,DP Daybreak 04/17/2024,4,https://www.shopsatpenn.com/,4,3,0.0030257186081694403,0.00424929178470255
3de5316770,DP Daybreak 04/18/2024,1,https://www.sustainability.upenn.edu/campus-initiatives/earth-week,2,1,0.00975609756097561,0.008547008547008548
3de5316770,DP Daybreak 04/18/2024,2,https://www.acmemarkets.com/,2,2,0.00975609756097561,0.017094017094017096
621f937b3e,DP Daybreak 04/18/2024,1,https://www.sustainability.upenn.edu/campus-initiatives/earth-week,6,4,0.002377179080824089,0.0029895366218236174
621f937b3e,DP Daybreak 04/18/2024,2,https://www.acmemarkets.com/,1,1,0.0003961965134706815,0.0007473841554559044
64560028e2,DP Daybreak 04/19/2024,1,https://upenn.vfairs.com/,13,9,0.005775211017325633,0.007371007371007371
64560028e2,DP Daybreak 04/19/2024,2,http://dpgradgoodbyes.com/,24,14,0.010661928031985785,0.011466011466011465
84cff8cda6,DP Daybreak 04/22/2024,1,https://www.sustainability.upenn.edu/campus-initiatives/earth-week,9,7,0.003639304488475536,0.005422153369481022
84cff8cda6,DP Daybreak 04/22/2024,2,https://youtu.be/TWauiZldOUg,4,4,0.0016174686615446825,0.003098373353989156
745dc1f7d7,DP Daybreak 04/23/2024,1,https://universityrealtyapartments.com/,19,16,0.008085106382978723,0.012269938650306749
242cbc2282,DP Daybreak 04/24/2024,1,https://www.sustainability.upenn.edu/campus-initiatives/earth-week,6,6,0.0028971511347175277,0.005376344086021506
242cbc2282,DP Daybreak 04/24/2024,2,https://philafleamarkets.org/,13,10,0.006277160791887977,0.008960573476702509
242cbc2282,DP Daybreak 04/24/2024,3,http://dominos.com/,10,7,0.004828585224529213,0.0062724014336917565
6dac70ad53,DP Daybreak 04/25/2024,1,http://nextgenamerica.org/,57,42,0.014070599851888422,0.019169329073482427
6dac70ad53,DP Daybreak 04/25/2024,2,https://universityrealtyapartments.com/,8,6,0.001974821031843989,0.0027384755819260614
6dac70ad53,DP Daybreak 04/25/2024,3,http://dominos.com,5,5,0.0012342631449024932,0.0022820629849383844
ca8dd872c6,DP Daybreak 04/25/2024,1,https://www.acmemarkets.com/,8,7,0.003020007550018875,0.00477815699658703
ca8dd872c6,DP Daybreak 04/25/2024,2,https://www.shopsatpenn.com/,23,15,0.008682521706304265,0.010238907849829351
282448d724,DP Daybreak 04/26/2024,1,https://web.sas.upenn.edu/conversations/calendar_event/student-journalism-during-unprecedented-times/,15,10,0.004865390853065196,0.006464124111182934
282448d724,DP Daybreak 04/26/2024,2,https://philafleamarkets.org/,20,10,0.006487187804086928,0.006464124111182934
282448d724,DP Daybreak 04/26/2024,3,https://upenn.vfairs.com/,6,4,0.0019461563412260785,0.002585649644473174
0dd76c1df0,DP Daybreak 04/29/2024,1,https://web.sas.upenn.edu/conversations/calendar_event/student-journalism-during-unprecedented-times/,17,11,0.005825908156271419,0.007422402159244264
0dd76c1df0,DP Daybreak 04/29/2024,2,https://universityrealtyapartments.com/,13,8,0.004455106237148732,0.005398110661268556
21c17110d9,DP Daybreak 04/30/2024,1,http://dominos.com,7,7,0.001883745963401507,0.0036477331943720686
4e966ba83e,DP Daybreak 05/01/2024,1,https://upenn.vfairs.com/,11,7,0.0035737491877842753,0.004638833664678595
4e966ba83e,DP Daybreak 05/01/2024,2,https://www.acmemarkets.com/,13,9,0.004223521767381416,0.005964214711729622
65a1761a1e,DP Daybreak 05/02/2024,1,https://upenn.vfairs.com/,16,10,0.005627857896588111,0.006702412868632708
65a1761a1e,DP Daybreak 05/02/2024,2,https://universityrealtyapartments.com/,25,14,0.008793527963418923,0.00938337801608579
65a1761a1e,DP Daybreak 05/02/2024,3,https://www.shopsatpenn.com/,12,8,0.004220893422441084,0.005361930294906166
